ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,17,8,-990.0,2.1,.8
2018,1,17,9,-990.0,262.5,136.2
2018,1,17,10,-990.0,815.1,670.9
2018,1,17,11,-990.0,1420.6,1223.7
2018,1,17,12,-990.0,1909.3,1599.1
2018,1,17,13,-990.0,2097.2,1748.6
2018,1,17,14,-990.0,2028.5,1727.0
2018,1,17,15,-990.0,1727.7,1511.2
2018,1,17,16,-990.0,1190.2,1081.4
2018,1,17,17,-990.0,605.3,547.8
2018,1,17,18,-990.0,78.0,53.1
2018,1,17,19,-990.0,.0,.0
2018,1,17,20,-990.0,.0,.0
2018,1,17,21,-990.0,.0,.0
2018,1,17,22,-990.0,.0,.0
2018,1,17,23,-990.0,.0,.0
2018,1,18,0,-990.0,.0,.0
2018,1,18,1,-990.0,.0,.0
2018,1,18,2,-990.0,.0,.0
2018,1,18,3,-990.0,.0,.0
2018,1,18,4,-990.0,.0,.0
2018,1,18,5,-990.0,.0,.0
2018,1,18,6,-990.0,.0,.0
2018,1,18,7,-990.0,.0,.0
2018,1,18,8,-990.0,1.8,.3
2018,1,18,9,-990.0,282.6,163.5
2018,1,18,10,-990.0,933.1,698.8
2018,1,18,11,-990.0,1523.9,1218.9
2018,1,18,12,-990.0,2004.2,1627.2
2018,1,18,13,-990.0,2237.3,1849.0
2018,1,18,14,-990.0,1904.9,1561.7
2018,1,18,15,-990.0,1593.8,1391.9
2018,1,18,16,-990.0,1159.7,985.4
2018,1,18,17,-990.0,607.3,551.9
2018,1,18,18,-990.0,79.2,60.6
2018,1,18,19,-990.0,.0,.0
2018,1,18,20,-990.0,.0,.0
2018,1,18,21,-990.0,.0,.0
2018,1,18,22,-990.0,.0,.0
2018,1,18,23,-990.0,.0,.0
2018,1,19,0,-990.0,.0,.0
2018,1,19,1,-990.0,.0,.0
2018,1,19,2,-990.0,.0,.0
2018,1,19,3,-990.0,.0,.0
2018,1,19,4,-990.0,.0,.0
2018,1,19,5,-990.0,.0,.0
2018,1,19,6,-990.0,.0,.0
2018,1,19,7,-990.0,.0,.0
2018,1,19,8,-990.0,1.7,.1
2018,1,19,9,-990.0,278.7,173.0
2018,1,19,10,-990.0,907.1,705.5
2018,1,19,11,-990.0,1516.4,1223.9
2018,1,19,12,-990.0,1936.7,1597.9
2018,1,19,13,-990.0,2105.2,1772.5
